VISITOR ARRIVALS BY COUNTRY OF RESIDENCE AND MODE OF TRANSPORT - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL AFRICA," 1,133 ", 10 ," 1,143 "," 1,146 ", 26 ," 1,172 "," 2,051 ", 17 ," 2,068 "," 4,330 ", 53 ," 4,383 "," 1,922 ", 6 ," 1,928 "," 2,042 ", 3 ," 2,045 "," 1,815 ", 7 ," 1,822 "," 5,779 ", 16 ," 5,795 "," 2,495 ", 1 ," 2,496 "," 1,723 ", 2 ," 1,725 "," 1,854 ", 6 ," 1,860 "," 6,072 ", 9 ," 6,081 "," 2,037 ", 16 ," 2,053 "," 1,569 ", 6 ," 1,575 "," 3,599 ", 12 ," 3,611 "," 7,205 ", 34 ," 7,239 "," 23,386 ", 112 ," 23,498 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Kazakhstan , 32 , -   , 32 , 43 , -   , 43 , 90 , -   , 90 , 165 , -   , 165 , 14 , -   , 14 , 23 , -   , 23 , 26 , -   , 26 , 63 , -   , 63 , 17 , -   , 17 , 1 , -   , 1 , 17 , -   , 17 , 35 , -   , 35 , 31 , -   , 31 , 33 , -   , 33 , 302 , -   , 302 , 366 , -   , 366 , 629 , -   , 629 ,,
 Kyrgyzstan , 13 , -   , 13 , 1 , -   , 1 , 7 , -   , 7 , 21 , -   , 21 , 13 , -   , 13 , 3 , -   , 3 , 12 , -   , 12 , 28 , -   , 28 , 1 , -   , 1 , 1 , -   , 1 , -   , -   , -   , 2 , -   , 2 , 8 , 1 , 9 , 2 , -   , 2 , 10 , -   , 10 , 20 , 1 , 21 , 71 , 1 , 72 ,,
 Tajikistan , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 4 , -   , -   , -   , 1 , -   , 1 , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 2 , -   , 2 , 7 , -   , 7 ,,
 Turkmenistan , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , 2 , -   , 2 , 3 , -   , 3 ,,
 Uzbekistan , 57 , -   , 57 , 2 , -   , 2 , 11 , -   , 11 , 70 , -   , 70 , 2 , -   , 2 , 1 , -   , 1 , 4 , -   , 4 , 7 , -   , 7 , 10 , -   , 10 , 5 , -   , 5 , 4 , -   , 4 , 19 , -   , 19 , 6 , -   , 6 , 3 , -   , 3 , 44 , -   , 44 , 53 , -   , 53 , 149 , -   , 149 ,,
 China , 10 , -   , 10 , 53 , -   , 53 , 9 , -   , 9 , 72 , -   , 72 , 21 , -   , 21 , 18 , -   , 18 , 23 , 1 , 24 , 62 , 1 , 63 , 35 , -   , 35 , 17 , -   , 17 , 47 , -   , 47 , 99 , -   , 99 , 29 , 1 , 30 , 25 , -   , 25 , 56 , 3 , 59 , 110 , 4 , 114 , 343 , 5 , 348 ,,
" china, Hong Kong SAR(3) ", 1 , -   , 1 , -   , -   , -   , 4 , -   , 4 , 5 , -   , 5 , 4 , -   , 4 , 9 , -   , 9 , 6 , -   , 6 , 19 , -   , 19 , 9 , -   , 9 , 4 , -   , 4 , 14 , -   , 14 , 27 , -   , 27 , 9 , -   , 9 , 10 , -   , 10 , 18 , -   , 18 , 37 , -   , 37 , 88 , -   , 88 ,,
" China, Macao SAR(3) ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 DPR of Korea  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 Japan , 2 , -   , 2 , 7 , -   , 7 , 5 , -   , 5 , 14 , -   , 14 , 11 , -   , 11 , 11 , -   , 11 , 4 , -   , 4 , 26 , -   , 26 , 6 , -   , 6 , 1 , -   , 1 , 21 , -   , 21 , 28 , -   , 28 , 25 , -   , 25 , 13 , -   , 13 , 11 , -   , 11 , 49 , -   , 49 , 117 , -   , 117 ,,
 Mongolia , 1 , -   , 1 , -   , -   , -   , 2 , -   , 2 , 3 , -   , 3 , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 2 , -   , 2 , 8 , -   , 8 , -   , -   , -   , -   , -   , -   , 8 , -   , 8 , -   , -   , -   , 2 , -   , 2 , 5 , -   , 5 , 7 , -   , 7 , 20 , -   , 20 ,,
 Republic of Korea , 6 , -   , 6 , -   , -   , -   , 8 , -   , 8 , 14 , -   , 14 , 6 , -   , 6 , 23 , -   , 23 , 11 , -   , 11 , 40 , -   , 40 , 26 , -   , 26 , 14 , -   , 14 , 23 , -   , 23 , 63 , -   , 63 , 46 , -   , 46 , 16 , -   , 16 , 27 , -   , 27 , 89 , -   , 89 , 206 , -   , 206 ,,
 Afghanistan , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , 1 , -   , 1 , 1 , -   , 1 , 2 , -   , 2 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 4 , -   , 4 ,,
 Bangladesh , 3 , -   , 3 , 1 , -   , 1 , 6 , -   , 6 , 10 , -   , 10 , 3 , -   , 3 , 14 , -   , 14 , 10 , -   , 10 , 27 , -   , 27 , 12 , -   , 12 , 6 , -   , 6 , 2 , -   , 2 , 20 , -   , 20 , 14 , -   , 14 , 5 , -   , 5 , 17 , -   , 17 , 36 , -   , 36 , 93 , -   , 93 ,,
 Bhutan , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 India , 108 , 1 , 109 , 182 , 4 , 186 , 323 , -   , 323 , 613 , 5 , 618 , 296 , 3 , 299 , 577 , -   , 577 , 535 , -   , 535 ," 1,408 ", 3 ," 1,411 ", 591 , 2 , 593 , 342 , -   , 342 , 322 , -   , 322 ," 1,255 ", 2 ," 1,257 ", 448 , 3 , 451 , 316 , -   , 316 , 901 , 3 , 904 ," 1,665 ", 6 ," 1,671 "," 4,941 ", 16 ," 4,957 ",,
 Iran (Islamic Republic of) , 15 , -   , 15 , 17 , -   , 17 , 140 , -   , 140 , 172 , -   , 172 , 12 , -   , 12 , 11 , -   , 11 , 4 , -   , 4 , 27 , -   , 27 , 10 , -   , 10 , 17 , -   , 17 , 17 , -   , 17 , 44 , -   , 44 , 6 , -   , 6 , 10 , -   , 10 , 15 , -   , 15 , 31 , -   , 31 , 274 , -   , 274 ,,
 Madives , 3 , -   , 3 , 8 , -   , 8 , 5 , -   , 5 , 16 , -   , 16 , 3 , -   , 3 , 15 , -   , 15 , 6 , -   , 6 , 24 , -   , 24 , 9 , -   , 9 , 4 , -   , 4 , 4 , -   , 4 , 17 , -   , 17 , 8 , -   , 8 , 7 , -   , 7 , 7 , -   , 7 , 22 , -   , 22 , 79 , -   , 79 ,,
 Nepal , 2 , 1 , 3 , 4 , -   , 4 , 9 , -   , 9 , 15 , 1 , 16 , 1 , -   , 1 , 6 , -   , 6 , 9 , -   , 9 , 16 , -   , 16 , 2 , -   , 2 , 15 , -   , 15 , -   , -   , -   , 17 , -   , 17 , 14 , -   , 14 , 4 , -   , 4 , 11 , 1 , 12 , 29 , 1 , 30 , 77 , 2 , 79 ,,
 Pakistan , 11 , -   , 11 , 31 , -   , 31 , 28 , -   , 28 , 70 , -   , 70 , 8 , -   , 8 , 36 , -   , 36 , 21 , -   , 21 , 65 , -   , 65 , 24 , -   , 24 , 6 , -   , 6 , 7 , -   , 7 , 37 , -   , 37 , 8 , -   , 8 , 4 , -   , 4 , 18 , -   , 18 , 30 , -   , 30 , 202 , -   , 202 ,,
 Sri Lanka , 178 , -   , 178 , 141 , 1 , 142 , 144 , -   , 144 , 463 , 1 , 464 , 94 , -   , 94 , 35 , -   , 35 , 41 , -   , 41 , 170 , -   , 170 , 45 , -   , 45 , 44 , -   , 44 , 33 , -   , 33 , 122 , -   , 122 , 44 , -   , 44 , 46 , -   , 46 , 58 , -   , 58 , 148 , -   , 148 , 903 , 1 , 904 ,,
 Brunei Darussalam , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 ,,
 Cambodia , 4 , -   , 4 , -   , -   , -   , -   , -   , -   , 4 , -   , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 2 , -   , 2 , 1 , 1 , 2 , 1 , -   , 1 , 6 , -   , 6 , 8 , 1 , 9 , 14 , 1 , 15 ,,
 Indonesia , 3 , 3 , 6 , 8 , 10 , 18 , 3 , 14 , 17 , 14 , 27 , 41 , 8 , 4 , 12 , 10 , -   , 10 , 6 , -   , 6 , 24 , 4 , 28 , 3 , -   , 3 , 9 , -   , 9 , 9 , -   , 9 , 21 , -   , 21 , 10 , -   , 10 , -   , -   , -   , 9 , 7 , 16 , 19 , 7 , 26 , 78 , 38 , 116 ,,
 Lao PDR  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , 1 , -   , 1 , 1 , -   , 1 ,,
 Malaysia , 4 , -   , 4 , 3 , -   , 3 , 13 , -   , 13 , 20 , -   , 20 , 6 , -   , 6 , 8 , -   , 8 , 9 , -   , 9 , 23 , -   , 23 , 20 , -   , 20 , 28 , -   , 28 , 15 , -   , 15 , 63 , -   , 63 , 5 , -   , 5 , 4 , -   , 4 , 3 , 2 , 5 , 12 , 2 , 14 , 118 , 2 , 120 ,,
 Myanmar , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , 3 , -   , 3 , 3 , -   , 3 , -   , -   , -   , -   , -   , -   , 3 , -   , 3 , 3 , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , -   , 8 ,,
 Philippines , 6 , 12 , 18 , 55 , 38 , 93 , 30 , 25 , 55 , 91 , 75 , 166 , 10 , 8 , 18 , 19 , 1 , 20 , 27 , -   , 27 , 56 , 9 , 65 , 23 , 3 , 26 , 20 , -   , 20 , 14 , -   , 14 , 57 , 3 , 60 , 20 , 8 , 28 , 8 , 1 , 9 , 31 , 24 , 55 , 59 , 33 , 92 , 263 , 120 , 383 ,,
 Singapore , 10 , 7 , 17 , 7 , -   , 7 , 11 , 1 , 12 , 28 , 8 , 36 , 13 , -   , 13 , 11 , -   , 11 , 5 , -   , 5 , 29 , -   , 29 , 41 , -   , 41 , 17 , -   , 17 , 7 , -   , 7 , 65 , -   , 65 , 16 , -   , 16 , 9 , -   , 9 , 25 , -   , 25 , 50 , -   , 50 , 172 , 8 , 180 ,,
 Thailand , -   , 2 , 2 , 7 , 1 , 8 , 8 , -   , 8 , 15 , 3 , 18 , 8 , -   , 8 , 12 , -   , 12 , 15 , -   , 15 , 35 , -   , 35 , 15 , 2 , 17 , 28 , -   , 28 , 21 , -   , 21 , 64 , 2 , 66 , 23 , -   , 23 , 22 , -   , 22 , 13 , -   , 13 , 58 , -   , 58 , 172 , 5 , 177 ,,
 Timor-Leste , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 Viet Nam , 1 , -   , 1 , -   , -   , -   , 4 , -   , 4 , 5 , -   , 5 , 65 , -   , 65 , 67 , -   , 67 , 1 , -   , 1 , 133 , -   , 133 , 3 , -   , 3 , -   , -   , -   , -   , -   , -   , 3 , -   , 3 , 3 , -   , 3 , 1 , -   , 1 , 1 , 2 , 3 , 5 , 2 , 7 , 146 , 2 , 148 ,,
 Armenia , 6 , -   , 6 , 8 , -   , 8 , 12 , -   , 12 , 26 , -   , 26 , 2 , -   , 2 , 3 , -   , 3 , 4 , -   , 4 , 9 , -   , 9 , 3 , -   , 3 , 20 , -   , 20 , 8 , -   , 8 , 31 , -   , 31 , 1 , -   , 1 , 7 , -   , 7 , 14 , -   , 14 , 22 , -   , 22 , 88 , -   , 88 ,,
 Azerbaijan , 17 , -   , 17 , 10 , -   , 10 , 72 , -   , 72 , 99 , -   , 99 , 10 , -   , 10 , 9 , -   , 9 , 7 , -   , 7 , 26 , -   , 26 , 7 , -   , 7 , 19 , -   , 19 , 4 , -   , 4 , 30 , -   , 30 , 16 , -   , 16 , 7 , -   , 7 , 16 , -   , 16 , 39 , -   , 39 , 194 , -   , 194 ,,
 Bahrain , 6 , -   , 6 , 19 , -   , 19 , 20 , -   , 20 , 45 , -   , 45 , 32 , -   , 32 , 35 , -   , 35 , 25 , -   , 25 , 92 , -   , 92 , 40 , -   , 40 , 32 , -   , 32 , 9 , -   , 9 , 81 , -   , 81 , 8 , -   , 8 , 14 , -   , 14 , 25 , -   , 25 , 47 , -   , 47 , 265 , -   , 265 ,,
 Cyprus , 33 , -   , 33 , 26 , -   , 26 , 44 , -   , 44 , 103 , -   , 103 , 53 , -   , 53 , 10 , -   , 10 , 23 , -   , 23 , 86 , -   , 86 , 22 , -   , 22 , 58 , -   , 58 , 7 , -   , 7 , 87 , -   , 87 , 21 , -   , 21 , 16 , -   , 16 , 41 , -   , 41 , 78 , -   , 78 , 354 , -   , 354 ,,
 Georgia , 3 , -   , 3 , 9 , -   , 9 , 17 , -   , 17 , 29 , -   , 29 , 5 , -   , 5 , 2 , -   , 2 , 4 , -   , 4 , 11 , -   , 11 , 3 , -   , 3 , 6 , -   , 6 , -   , -   , -   , 9 , -   , 9 , 23 , -   , 23 , 8 , -   , 8 , 20 , -   , 20 , 51 , -   , 51 , 100 , -   , 100 ,,
 Iraq , -   , -   , -   , 6 , -   , 6 , -   , -   , -   , 6 , -   , 6 , 1 , -   , 1 , 3 , -   , 3 , 8 , -   , 8 , 12 , -   , 12 , 6 , -   , 6 , 10 , -   , 10 , 2 , -   , 2 , 18 , -   , 18 , 4 , -   , 4 , 4 , -   , 4 , 4 , -   , 4 , 12 , -   , 12 , 48 , -   , 48 ,,
 Israel , 239 , -   , 239 , 597 , -   , 597 ," 1,472 ", -   ," 1,472 "," 2,308 ", -   ," 2,308 "," 2,427 ", -   ," 2,427 "," 1,010 ", -   ," 1,010 "," 1,016 ", -   ," 1,016 "," 4,453 ", -   ," 4,453 ", 863 , -   , 863 ," 1,549 ", -   ," 1,549 "," 1,866 ", -   ," 1,866 "," 4,278 ", -   ," 4,278 "," 2,340 ", 1 ," 2,341 "," 1,053 ", -   ," 1,053 "," 1,447 ", -   ," 1,447 "," 4,840 ", 1 ," 4,841 "," 15,879 ", 1 ," 15,880 ",,
 Jordan , 3 , -   , 3 , 7 , -   , 7 , 11 , -   , 11 , 21 , -   , 21 , 8 , -   , 8 , 13 , -   , 13 , 12 , -   , 12 , 33 , -   , 33 , 13 , -   , 13 , 10 , -   , 10 , 17 , -   , 17 , 40 , -   , 40 , 7 , -   , 7 , 18 , -   , 18 , 40 , -   , 40 , 65 , -   , 65 , 159 , -   , 159 ,,
 Kuwait , 29 , -   , 29 , 40 , -   , 40 , 91 , -   , 91 , 160 , -   , 160 , 34 , -   , 34 , 132 , -   , 132 , 81 , -   , 81 , 247 , -   , 247 , 165 , -   , 165 , 73 , -   , 73 , 50 , -   , 50 , 288 , -   , 288 , 41 , -   , 41 , 36 , -   , 36 , 56 , -   , 56 , 133 , -   , 133 , 828 , -   , 828 ,,
 Lebanon , 10 , -   , 10 , 21 , -   , 21 , 28 , -   , 28 , 59 , -   , 59 , 39 , -   , 39 , 43 , -   , 43 , 24 , -   , 24 , 106 , -   , 106 , 32 , -   , 32 , 30 , -   , 30 , 20 , -   , 20 , 82 , -   , 82 , 27 , -   , 27 , 14 , -   , 14 , 26 , -   , 26 , 67 , -   , 67 , 314 , -   , 314 ,,
 Occupied Palestinian Territory , 2 , -   , 2 , 3 , -   , 3 , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , 1 , -   , 1 , 5 , -   , 5 , 6 , -   , 6 , 1 , -   , 1 , 6 , -   , 6 , -   , -   , -   , 7 , -   , 7 , 20 , -   , 20 ,,
 Oman , 8 , -   , 8 , 8 , -   , 8 , 27 , -   , 27 , 43 , -   , 43 , 11 , -   , 11 , 17 , -   , 17 , 7 , -   , 7 , 35 , -   , 35 , 23 , -   , 23 , 15 , -   , 15 , 5 , -   , 5 , 43 , -   , 43 , 14 , -   , 14 , 8 , -   , 8 , 26 , -   , 26 , 48 , -   , 48 , 169 , -   , 169 ,,
 Qatar  , 101 , -   , 101 , 164 , -   , 164 , 384 , -   , 384 , 649 , -   , 649 , 373 , -   , 373 , 430 , -   , 430 , 207 , -   , 207 ," 1,010 ", -   ," 1,010 ", 526 , -   , 526 , 209 , -   , 209 , 173 , -   , 173 , 908 , -   , 908 , 121 , -   , 121 , 80 , -   , 80 , 135 , -   , 135 , 336 , -   , 336 ," 2,903 ", -   ," 2,903 ",,
 Saudi Arabia , 42 , -   , 42 , 80 , -   , 80 , 191 , -   , 191 , 313 , -   , 313 , 115 , -   , 115 , 312 , -   , 312 , 153 , -   , 153 , 580 , -   , 580 , 484 , -   , 484 , 235 , -   , 235 , 126 , -   , 126 , 845 , -   , 845 , 71 , -   , 71 , 209 , -   , 209 , 138 , -   , 138 , 418 , -   , 418 ," 2,156 ", -   ," 2,156 ",,
 Syrian Arab Republic , 2 , -   , 2 , 9 , -   , 9 , 2 , -   , 2 , 13 , -   , 13 , -   , -   , -   , 4 , -   , 4 , 3 , -   , 3 , 7 , -   , 7 , 4 , -   , 4 , 1 , -   , 1 , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , 3 , -   , 3 , 4 , -   , 4 , 7 , -   , 7 , 32 , -   , 32 ,,
 Turkey , 140 , -   , 140 , 109 , 6 , 115 , 214 , -   , 214 , 463 , 6 , 469 , 120 , -   , 120 , 145 , -   , 145 , 137 , -   , 137 , 402 , -   , 402 , 158 , -   , 158 , 136 , -   , 136 , 122 , -   , 122 , 416 , -   , 416 , 126 , 4 , 130 , 147 , -   , 147 , 101 , -   , 101 , 374 , 4 , 378 ," 1,655 ", 10 ," 1,665 ",,
 United Arab Emirates , 498 , -   , 498 , 886 , -   , 886 ," 1,993 ", -   ," 1,993 "," 3,377 ", -   ," 3,377 "," 1,642 ", -   ," 1,642 "," 1,686 ", -   ," 1,686 "," 1,097 ", -   ," 1,097 "," 4,425 ", -   ," 4,425 "," 2,448 ", -   ," 2,448 "," 1,940 ", -   ," 1,940 ", 735 , -   , 735 ," 5,123 ", -   ," 5,123 "," 1,135 ", -   ," 1,135 ", 972 , -   , 972 ," 1,886 ", -   ," 1,886 "," 3,993 ", -   ," 3,993 "," 16,918 ", -   ," 16,918 ",,
 Yemen , -   , -   , -   , 2 , -   , 2 , 1 , -   , 1 , 3 , -   , 3 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 1 , 1 , -   , 1 , 1 , -   , 1 , 2 , -   , 2 , 4 , -   , 4 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 1 , 9 , -   , 9 ,,
TOTAL ASIA," 1,609 ", 26 ," 1,635 "," 2,576 ", 60 ," 2,636 "," 5,439 ", 40 ," 5,479 "," 9,624 ", 126 ," 9,750 "," 5,471 ", 15 ," 5,486 "," 4,765 ", 1 ," 4,766 "," 3,589 ", 1 ," 3,590 "," 13,825 ", 17 ," 13,842 "," 5,715 ", 7 ," 5,722 "," 4,925 ", -   ," 4,925 "," 3,735 ", -   ," 3,735 "," 14,375 ", 7 ," 14,382 "," 4,731 ", 19 ," 4,750 "," 3,146 ", 1 ," 3,147 "," 5,570 ", 42 ," 5,612 "," 13,447 ", 62 ," 13,509 "," 51,271 ", 212 ," 51,483 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Australia , 15 , -   , 15 , 33 , 8 , 41 , 77 , 3 , 80 , 125 , 11 , 136 , 112 , 2 , 114 , 72 , 5 , 77 , 52 , -   , 52 , 236 , 7 , 243 , 57 , 2 , 59 , 67 , 1 , 68 , 141 , 8 , 149 , 265 , 11 , 276 , 89 , 1 , 90 , 76 , 1 , 77 , 137 , 8 , 145 , 302 , 10 , 312 , 928 , 39 , 967 ,,
 New Zealand , 1 , 3 , 4 , 2 , 7 , 9 , 7 , 2 , 9 , 10 , 12 , 22 , 12 , 1 , 13 , 7 , 6 , 13 , 13 , -   , 13 , 32 , 7 , 39 , 3 , -   , 3 , 17 , -   , 17 , 16 , 1 , 17 , 36 , 1 , 37 , 24 , -   , 24 , 9 , -   , 9 , 6 , 1 , 7 , 39 , 1 , 40 , 117 , 21 , 138 ,,
 Norfolk Island , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 Fiji , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 5 , -   , 5 , -   , -   , -   , 7 , -   , 7 , 1 , -   , 1 , 1 , -   , 1 , 3 , -   , 3 , 5 , -   , 5 , 12 , -   , 12 ,,
 New Caledonia , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 2 , -   , 2 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 5 , -   , 5 ,,
 Papua New Guinea , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 Solomon Islands , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 ,,
 Vanuatu , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 3 ,,
