VISITOR ARRIVALS BY COUNTRY OF RESIDENCE AND MODE OF TRANSPORT - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Colombia , 6 , -   , 6 , 6 , -   , 6 , 6 , -   , 6 , 18 , -   , 18 , 2 , -   , 2 , 2 , -   , 2 , 9 , -   , 9 , 13 , -   , 13 , 2 , 1 , 3 , 2 , -   , 2 , 14 , -   , 14 , 18 , 1 , 19 , 7 , 1 , 8 , 1 , -   , 1 , 3 , -   , 3 , 11 , 1 , 12 , 60 , 2 , 62 ,,
 Ecuador , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 3 , -   , 3 , 4 , -   , 4 , 9 , -   , 9 , -   , -   , -   , 6 , -   , 6 , 15 , -   , 15 , 3 , -   , 3 , -   , -   , -   , 2 , -   , 2 , 5 , -   , 5 , 24 , -   , 24 ,,
 Falkland Islands (Malvinas) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 French Guiana , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , 6 , -   , -   , -   , -   , -   , -   , 6 , -   , 6 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 1 , 7 , -   , 7 ,,
 Guyana , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 Paraguay , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 1 , -   , 1 , -   , -   , -   , 3 , -   , 3 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , 1 , -   , 1 , 6 , -   , 6 , 2 , -   , 2 , 1 , -   , 1 , 9 , -   , 9 , 13 , -   , 13 ,,
 Peru , 1 , -   , 1 , 2 , 1 , 3 , -   , 1 , 1 , 3 , 2 , 5 , 1 , -   , 1 , 5 , -   , 5 , 3 , -   , 3 , 9 , -   , 9 , 1 , -   , 1 , 2 , -   , 2 , 10 , -   , 10 , 13 , -   , 13 , 3 , 1 , 4 , 2 , -   , 2 , 2 , -   , 2 , 7 , 1 , 8 , 32 , 3 , 35 ,,
 Suriname , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 Uruguay , -   , -   , -   , -   , -   , -   , 3 , -   , 3 , 3 , -   , 3 , 2 , -   , 2 , 4 , -   , 4 , 2 , -   , 2 , 8 , -   , 8 , 2 , -   , 2 , -   , -   , -   , 2 , -   , 2 , 4 , -   , 4 , 6 , -   , 6 , -   , -   , -   , 3 , -   , 3 , 9 , -   , 9 , 24 , -   , 24 ,,
 Venezuela (Bolivarian Republic of) , -   , -   , -   , 1 , -   , 1 , -   , 1 , 1 , 1 , 1 , 2 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , 10 , -   , 10 , 1 , -   , 1 , -   , -   , -   , 3 , -   , 3 , 4 , -   , 4 , 16 , 1 , 17 ,,
 Bermuda , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 1 , -   , 1 , 3 , -   , 3 , 5 , -   , 5 ,,
 Canada , 35 , 1 , 36 , 74 , 4 , 78 , 106 , 1 , 107 , 215 , 6 , 221 , 62 , 14 , 76 , 51 , 4 , 55 , 109 , 2 , 111 , 222 , 20 , 242 , 95 , -   , 95 , 80 , -   , 80 , 136 , 1 , 137 , 311 , 1 , 312 , 137 , 1 , 138 , 106 , 1 , 107 , 132 , -   , 132 , 375 , 2 , 377 ," 1,123 ", 29 ," 1,152 ",,
 Greenland , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 Saint Pierre and Miquelon , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 United State of America , 429 , 1 , 430 , 642 , 3 , 645 , 805 , 7 , 812 ," 1,876 ", 11 ," 1,887 ", 681 , 52 , 733 , 716 , 2 , 718 , 900 , 1 , 901 ," 2,297 ", 55 ," 2,352 ", 829 , 5 , 834 , 671 , -   , 671 ," 1,041 ", 5 ," 1,046 "," 2,541 ", 10 ," 2,551 ", 822 , 1 , 823 , 709 , 1 , 710 , 834 , 2 , 836 ," 2,365 ", 4 ," 2,369 "," 9,079 ", 80 ," 9,159 ",,
TOTAL AMERICA, 550 , 4 , 554 , 842 , 11 , 853 ," 1,039 ", 10 ," 1,049 "," 2,431 ", 25 ," 2,456 ", 900 , 67 , 967 , 936 , 7 , 943 ," 1,149 ", 3 ," 1,152 "," 2,985 ", 77 ," 3,062 "," 1,088 ", 6 ," 1,094 ", 858 , 1 , 859 ," 1,492 ", 6 ," 1,498 "," 3,438 ", 13 ," 3,451 "," 1,157 ", 5 ," 1,162 ", 962 , 2 , 964 ," 1,115 ", 5 ," 1,120 "," 3,234 ", 12 ," 3,246 "," 12,088 ", 127 ," 12,215 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL," 21,431 ", 135 ," 21,566 "," 27,130 ", 274 ," 27,404 "," 28,551 ", 134 ," 28,685 "," 77,112 ", 543 ," 77,655 "," 32,305 ", 195 ," 32,500 "," 24,970 ", 53 ," 25,023 "," 21,078 ", 31 ," 21,109 "," 78,353 ", 279 ," 78,632 "," 31,090 ", 34 ," 31,124 "," 29,357 ", 9 ," 29,366 "," 24,393 ", 34 ," 24,427 "," 84,840 ", 77 ," 84,917 "," 34,794 ", 364 ," 35,158 "," 26,867 ", 33 ," 26,900 "," 28,580 ", 226 ," 28,806 "," 90,241 ", 623 ," 90,864 "," 330,546 "," 1,522 "," 332,068 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
