VISITOR ARRIVALS BY PURPOSE OF VISIT AND MODE OF TRANSPORT - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTH, JANUARY ,,, FEBRUARY ,,, MARCH ,,,   TOT      Q1 ,,, APRIL ,,, MAY ,,, JUNE ,,, TOT      Q2 ,,, JULY ,,, AUGUST ,,, SEPTEMBER ,,,   TOT      Q3 ,,, OCTOBER ,,, NOVEMBER ,,, DECEMBER ,,,   TOT      Q4 ,,,ANNUAL,ANNUAL,  ANNUAL
PURPOSE OF VISIT, AIR , SEA ,  TOT ,  AIR ,  SEA ,   TOT ,   AIR ,  SEA ,  TOT ,   AIR ,    SEA , TOT ,   AIR ,  SEA ,  TOT ,   AIR ,  SEA ,  TOT ,   AIR ,  SEA ,  TOT ,   AIR ,    SEA ,  TOTAL ,   AIR ,  SEA ,  TOT ,   AIR ,  SEA ,  TOT ,   AIR ,  SEA ,  TOT ,   AIR ,    SEA ,  TOTAL ,   AIR ,  SEA ,  TOT ,   AIR ,  SEA ,  TOT ,   AIR ,  SEA ,  TOT ,   AIR ,    SEA , TOTAL ,     AIR ,     SEA , TOTAL 
Holiday,"20,349",8,"20,357","25,156",27,"25,183","25,144",57,"25,201","70,649",92,"70,741","28,966",31,"28,997","20,485",16,"20,501","16,144",17,"16,161","65,595",64,"65,659","25,969",32,"26,001","23,868",7,"23,875","18,030",9,"18,039","67,867",48,"67,915","29,026",107,"29,133","22,896", -   ,"22,896","25,093",154,"25,247","77,015",261,"77,276","281,126",465,"281,591"
Visiting Friends,414, -   ,414,464, -   ,464,508, -   ,508,"1,386", -   ,"1,386",633, -   ,633,437, -   ,437,437, -   ,437,"1,507", -   ,"1,507",696, -   ,696,803, -   ,803,560, -   ,560,"2,059", -   ,"2,059",909, -   ,909,728, -   ,728,"1,210", -   ,"1,210","2,847", -   ,"2,847","7,799", -   ,"7,799"
Honeymoon,38, -   ,38,392, -   ,392,"1,422", -   ,"1,422","1,852", -   ,"1,852","1,480", -   ,"1,480","2,678", -   ,"2,678","3,384", -   ,"3,384","7,542", -   ,"7,542","3,292", -   ,"3,292","3,609", -   ,"3,609","4,493", -   ,"4,493","11,394", -   ,"11,394","3,383", -   ,"3,383","2,143", -   ,"2,143","1,394",1,"1,395","6,920",1,"6,921","27,708",1,"27,709"
Wedding,86, -   ,86,186, -   ,186,413, -   ,413,685, -   ,685,346, -   ,346,292, -   ,292,299, -   ,299,937, -   ,937,267, -   ,267,255, -   ,255,259, -   ,259,781, -   ,781,351, -   ,351,283, -   ,283,177, -   ,177,811, -   ,811,"3,214", -   ,"3,214"
Business,143, -   ,143,288,1,289,535, -   ,535,966,1,967,408, -   ,408,623,15,638,510, -   ,510,"1,541",15,"1,556",548, -   ,548,460, -   ,460,726, -   ,726,"1,734", -   ,"1,734",711, -   ,711,670,16,686,405, -   ,405,"1,786",16,"1,802","6,027",32,"6,059"
Conference, -   , -   , -   , -   , -   , -   ,14, -   ,14,14, -   ,14,17, -   ,17,21, -   ,21,22, -   ,22,60, -   ,60,11, -   ,11,15, -   ,15,7, -   ,7,33, -   ,33,16, -   ,16,1, -   ,1,3, -   ,3,20, -   ,20,127, -   ,127
Workshop, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10, -   ,10,5, -   ,5,1, -   ,1,16, -   ,16, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,16, -   ,16
Holiday / Business,6, -   ,6,9, -   ,9, -   , -   , -   ,15, -   ,15, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,15, -   ,15
Transit,41,35,76,44,46,90,36,75,111,121,156,277,108,151,259,117,11,128,6,9,15,231,171,402,25,2,27,75, -   ,75,27,6,33,127,8,135,123,246,369,19,17,36,33,64,97,175,327,502,654,662,"1,316"
Crew,161,92,253,257,196,453,216,1,217,634,289,923,188,4,192,133,11,144,66,5,71,387,20,407,83, -   ,83,101,2,103,134, -   ,134,318,2,320,148, -   ,148,75, -   ,75,170,1,171,393,1,394,"1,732",312,"2,044"
Other / Not Stated,193, -   ,193,334,4,338,263,1,264,790,5,795,159,9,168,184, -   ,184,210, -   ,210,553,9,562,189, -   ,189,166, -   ,166,156,19,175,511,19,530,127,11,138,52, -   ,52,95,6,101,274,17,291,"2,128",50,"2,178"
Sports, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
TOTAL,"21,431",135,"21,566","27,130",274,"27,404","28,551",134,"28,685","77,112",543,"77,655","32,305",195,"32,500","24,970",53,"25,023","21,078",31,"21,109","78,353",279,"78,632","31,090",34,"31,124","29,357",9,"29,366","24,393",34,"24,427","84,840",77,"84,917","34,794",364,"35,158","26,867",33,"26,900","28,580",226,"28,806","90,241",623,"90,864","330,546","1,522","332,068"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 SOURCE: NATIONAL BUREAU OF STATISTICS FROM IMMIGRATION INFORMATION SYSTEM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) Forms part of UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) Forms part of Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3) Special Administrative region of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
